n,k,a,eta,defect,ratio_sqrt,ratio_linear,rank,eig_cond,trial,seed
3,2,0.003,0.005327933475342183,0.0004705616448461559,0.0064466950695100346,0.08831972978340057,2,2.7022838224515406,12,20260602
3,2,0.1,0.10620313107290111,0.011076935174744302,0.033989983497072926,0.10429951605796586,2,2.1045665698390925,13,20260602
3,2,0.03,0.033756373237004214,0.004009098443172413,0.021820707632254438,0.11876567470754182,2,2.1711229324958237,13,20260602
3,2,0.01,0.011432641928061881,0.0013962907120682077,0.01305877828519299,0.12213193773181645,2,2.1927688197511843,13,20260602
3,2,0.003,0.0034487469175699323,0.00042501909933723777,0.007237320141370477,0.12323870364970595,2,2.20057304585132,13,20260602
3,2,0.1,0.15786119712792696,0.007517447958227257,0.018920505456612707,0.047620619221171216,2,2.2877586335314164,14,20260602
3,2,0.03,0.052718076013770473,0.0033825130697057813,0.014731932061066998,0.06416230115875693,2,2.2241690935159415,14,20260602
3,2,0.01,0.018083141230818143,0.0011885862384343655,0.008838809230592744,0.06572896950053793,2,2.216819933609732,14,20260602
3,2,0.003,0.005478539537999294,0.0003681809399044318,0.004974264813330029,0.06720421334020119,2,2.2149987098228867,14,20260602
3,2,0.1,0.14926758126847456,0.001106258805962286,0.002863347072423623,0.007411246277063704,2,2.3827902642057586,15,20260602
3,2,0.03,0.04842162668885199,0.0010926212979168303,0.004965351229032333,0.0225647375487363,2,2.2838408192543445,15,20260602
3,2,0.01,0.016548719156373154,0.000428556671297026,0.003331394521776675,0.02589666712254178,2,2.2693612585550436,15,20260602
3,2,0.003,0.005007474324221378,0.00013424983937342634,0.001897161965054368,0.026809890711581654,2,2.265351046387505,15,20260602
4,2,0.1,0.1502236607173986,0.01950145986927667,0.050315055168574256,0.1298161672811509,2,4.993039972227414,0,20260602
4,2,0.03,0.048832364988514274,0.005530417266657429,0.025026724959283226,0.11325311129121482,2,5.044938215415579,0,20260602
4,2,0.01,0.016636051831723377,0.0016896112598096006,0.013099709435032306,0.10156323609113022,2,5.061713630999125,0,20260602
4,2,0.003,0.0050284682172499545,0.0005469053521847428,0.0077124847586287895,0.1087618194162203,2,5.067766881404368,0,20260602
4,2,0.1,0.13733561910956932,0.03217749320237712,0.08682816290794894,0.23429823530853439,2,4.873131904135821,1,20260602
4,2,0.03,0.04548102985923151,0.009407852107926693,0.044113888033892476,0.20685222249902802,2,4.545755820275236,1,20260602
4,2,0.01,0.015567995107968606,0.00305344335460956,0.02447222880390958,0.19613594001238027,2,4.4882220186444854,1,20260602
4,2,0.003,0.004713201973654236,0.0009282476260680725,0.013520906880588272,0.19694628646444026,2,4.470941238078131,1,20260602
4,2,0.1,0.15163248277613822,0.020734692043263548,0.05324777516401766,0.1367430755181599,2,2.4994018838102443,2,20260602
4,2,0.03,0.04943008102214853,0.006139468897186858,0.027614370178151163,0.12420511498728674,2,2.5730646460855553,2,20260602
4,2,0.01,0.016851963787316793,0.002014874339991021,0.015521107519993674,0.11956317764624354,2,2.59448632900185,2,20260602
4,2,0.003,0.005094992498088121,0.0006105544059412364,0.008553672047395355,0.11983421097682576,2,2.6020092765925993,2,20260602
4,2,0.1,0.14333598783125964,0.010777673266271678,0.02846737298297376,0.07519167676829037,2,6.580815382480777,3,20260602
4,2,0.03,0.045266398626127274,0.002972739737669233,0.013972332652217196,0.06567210619564066,2,6.5534150732198615,3,20260602
4,2,0.01,0.015304571187447043,0.0009721685731521357,0.007858343251745524,0.06352145128701925,2,6.551819534684675,3,20260602
4,2,0.003,0.004614027379001608,0.00029068225136819905,0.004279356143814893,0.06299968064582605,2,6.551795088790894,3,20260602
