vector_rank,a,eta,defect,ratio_sqrt,ratio_linear,rank,eig_cond,positivity_margin_phi1,trial,seed
1,0.1,0.11819685841288917,2.7788498320961364e-32,8.082805188683425e-32,2.3510352723495968e-31,2,2.74929261684784,0.0926030375051804,8,20260605
1,0.03,0.037865878734210365,2.773868216399616e-32,1.4254822191677585e-31,7.325508635016921e-31,2,2.8895991525664773,0.0926030375051804,8,20260605
1,0.01,0.012851867326955622,2.7733517017580653e-32,2.4463682475223984e-31,2.1579367660769517e-30,2,2.931034490925006,0.0926030375051804,8,20260605
1,0.003,0.003879720322836194,2.773341610951133e-32,4.452492103707045e-31,7.148302919226238e-30,2,2.9456874881235957,0.0926030375051804,8,20260605
1,0.001,0.0012955416849880631,2.7733391394063187e-32,7.705082357599862e-31,2.1406792012499944e-29,2,2.949888671379656,0.0926030375051804,8,20260605
1,0.1,0.1327569431409418,2.773486831682352e-32,7.611977332150606e-32,2.0891463497603073e-31,2,3.1197485569821612,0.19126219868594885,9,20260605
1,0.03,0.04304686831168297,2.773357787635383e-32,1.3367036075678612e-31,6.4426470412545434e-31,2,3.113416352271243,0.19126219868594885,9,20260605
1,0.01,0.014655930109848544,7.703721501429497e-32,6.363468248859928e-31,5.256385260907271e-30,2,3.11348043989388,0.19126219868594885,9,20260605
1,0.003,0.004429020534721184,2.773339332197644e-32,4.167246246116178e-31,6.261744127073079e-30,2,3.113701937808152,0.19126219868594885,9,20260605
1,0.001,0.0014794110803381688,6.591495247751981e-32,1.7137185973795874e-30,4.455485926362857e-29,2,3.1137841652150082,0.19126219868594885,9,20260605
1,0.1,0.10882411366920029,7.705097898496315e-32,2.335692099601652e-31,7.080322217847784e-31,2,1.7830892215388967,0.1235050197483909,10,20260605
1,0.03,0.034765002139653785,6.240183116581653e-32,3.3467725933876407e-31,1.7949612347251814e-30,2,1.786329961088241,0.1235050197483909,10,20260605
1,0.01,0.011790201673554875,2.7733563386486215e-32,2.5541421091874386e-31,2.3522552161844608e-30,2,1.7876142418797085,0.1235050197483909,10,20260605
1,0.003,0.003558261715101118,2.773340179609952e-32,4.6492639167610675e-31,7.794087117988003e-30,2,1.788100893822647,0.1235050197483909,10,20260605
1,0.001,0.001188106559058271,2.8900987636032806e-32,8.384650943672975e-31,2.4325248788240508e-29,2,1.7882434729372332,0.1235050197483909,10,20260605
1,0.1,0.05320458822064393,4.943094804529818e-32,2.143010982925658e-31,9.290730310758886e-31,2,5.0724700346591485,0.30105167146144773,11,20260605
1,0.03,0.016658215703962,4.930531120908229e-32,3.8201416228829927e-31,2.959819471983154e-30,2,4.746054819577423,0.30105167146144773,11,20260605
1,0.01,0.005619797383357384,2.7733615217930566e-32,3.6995266220634144e-31,4.934984898220997e-30,2,4.665428493027111,0.30105167146144773,11,20260605
1,0.003,0.0016929915015802992,4.968974492245612e-32,1.2076452522552912e-30,2.935026246503537e-29,2,4.6383503447351275,0.30105167146144773,11,20260605
1,0.001,0.000565002363677621,4.930381024973308e-32,2.0742225478848787e-30,8.726301590813317e-29,2,4.630717873759698,0.30105167146144773,11,20260605
1,0.1,0.0939134860505284,2.774744931872889e-32,9.054387685662678e-32,2.954575587131319e-31,2,3.992310154522199,0.017451751382419278,12,20260605
1,0.03,0.030053775556911418,2.7734852780869303e-32,1.5998392431105744e-31,9.22840883281008e-31,2,4.219409294627056,0.017451751382419278,12,20260605
1,0.01,0.010197460379275585,1.2326150989670417e-32,1.2206227779469862e-31,1.2087471322488287e-30,2,4.289369518457715,0.017451751382419278,12,20260605
1,0.003,0.003078104034194891,2.773339132245213e-32,4.998749027094424e-31,9.009894082318135e-30,2,4.3144305402440635,0.017451751382419278,12,20260605
1,0.001,0.0010278318869253711,2.773339254139441e-32,8.650514836088205e-31,2.698242085518026e-29,2,4.321646732991679,0.017451751382419278,12,20260605
1,0.1,0.09871265920192993,2.7746267059556214e-32,8.831167790369922e-32,2.8108114282280167e-31,2,1.5404090927043383,0.07191624135167896,13,20260605
1,0.03,0.03180119661180031,4.930455962738173e-32,2.764810392427528e-31,1.5503995094664626e-30,2,1.5393599133672655,0.07191624135167896,13,20260605
1,0.01,0.010808870448348856,7.703734175984111e-32,7.409879284681638e-31,7.127233333767008e-30,2,1.5405713212530188,0.07191624135167896,13,20260605
1,0.003,0.0032645549304019866,6.240013146700178e-32,1.0921279313139809e-30,1.9114437587153125e-29,2,1.5411597741787324,0.07191624135167896,13,20260605
1,0.001,0.0010902702320231277,2.773339189935384e-32,8.39916110168181e-31,2.5437172441084807e-29,2,1.5413434636513943,0.07191624135167896,13,20260605
1,0.1,0.1038017538061413,2.7777674020387544e-32,8.621712393190954e-32,2.676031280961277e-31,2,1.8958698375814604,0.10763833347862128,14,20260605
1,0.03,0.034901512575928384,1.2441056050910828e-32,6.659400313501839e-32,3.5646180158654328e-31,2,1.8366215384431255,0.10763833347862128,14,20260605
1,0.01,0.012004286012119758,2.773370820553398e-32,2.5312775929945445e-31,2.3103171798417245e-30,2,1.8228951673720233,0.10763833347862128,14,20260605
