n,k,a,eta,defect,ratio_sqrt,ratio_linear,rank,eig_cond,trial,seed
3,2,0.003,0.0023298292857965573,0.0005697572246878887,0.011803961677535934,0.24454891530522224,2,1.958532499054257,54,20260602
3,2,0.003,0.004085411402411313,0.0010607664091326348,0.016595940163176576,0.25964739034765105,2,1.9819550604417804,55,20260602
3,2,0.003,0.003104912061936254,0.0016791662057777238,0.030134849925437444,0.5408095856765035,2,1.9340738895683627,56,20260602
3,2,0.003,0.004298498503545456,0.00033516751215632493,0.005112149263994689,0.07797316013484117,2,2.86245143996215,57,20260602
3,2,0.003,0.003255615603359398,0.0016357059435209314,0.02866742408410279,0.502426005647928,2,1.950960981343028,58,20260602
3,2,0.003,0.004466584783453465,0.0009625268868185854,0.014402075348321155,0.21549504453252105,2,1.944091445526076,59,20260602
3,2,0.003,0.005153852037875769,0.00029936993001666113,0.004170059029648152,0.05808663652285419,2,2.2193354696354723,60,20260602
3,2,0.003,0.0030520858687080607,0.0010662981158457575,0.019301020311678404,0.34936701053470637,2,2.002934338967021,61,20260602
3,2,0.003,0.0023833095170902718,0.0013346527086002375,0.02733871191319954,0.5599997394504111,2,1.967931722106134,62,20260602
3,2,0.003,0.004961378330806075,0.0008962934589176641,0.012724744011628854,0.18065412455091756,2,2.058451765251192,63,20260602
3,2,0.003,0.004036765483811696,0.00047070370482933806,0.007408509748622863,0.11660417398953739,2,2.174281913499242,64,20260602
3,2,0.003,0.0054867072988908925,0.0007876869910134116,0.010634027443775354,0.14356278695104407,2,1.9406714274198629,65,20260602
3,2,0.003,0.004527521562553471,0.0003216445409588816,0.004780198388733492,0.07104207821320185,2,1.9468404207182348,66,20260602
3,2,0.003,0.005537879881089047,0.0005311346760017759,0.007137282555435876,0.09590938904534817,2,2.0584770576408142,67,20260602
3,2,0.003,0.003946735690708584,0.0012019328613496244,0.019132035920868543,0.30453847319424454,2,1.9420639094451881,68,20260602
3,2,0.003,0.004172203795193257,0.0016474903389426525,0.02550586869696645,0.3948729304260509,2,2.0601718672087657,69,20260602
3,2,0.003,0.005029784706722251,0.00023070214587285126,0.003252946615622325,0.04586720094888364,2,1.9405851389016682,70,20260602
3,2,0.003,0.003235196890336239,0.0021706743377911787,0.03816315873345462,0.6709558680261891,2,1.9346122089121942,71,20260602
3,2,0.003,0.0034956730242683563,0.0006299640677080688,0.010654924508392673,0.18021252655342962,2,2.026144667072962,72,20260602
